goods_no,카테고리,brand,name,sale_price,건성적합,지성적합,저자극,진정효과,보습효과,미백효과,리뷰수,출처
A000000200572,에센스_세럼_엠플,무슈제이,[모공케어] 무슈제이 레티놀로지 데일리 리페어 (로션/에센스) 택 1,27900,18.0,20.0,81.0,25.0,50.0,25.0,123,실측
A000000201753,에센스_세럼_엠플,톡스앤필,[진정보습/장벽케어] 톡스앤필 판테놀 세럼 30ml,26200,14.0,23.0,89.0,57.0,37.0,6.0,32,실측
A000000202453,에센스_세럼_엠플,빌리프,[결광톤업] 빌리프 슈퍼드랍스 비타C토닝 결광 세럼 30ml 단품 / 1+1 기획,29260,31.0,8.0,70.0,13.0,29.0,58.0,1044,실측
A000000202907,에센스_세럼_엠플,이지듀,대웅제약 이지듀 기미잡티앰플 12ml+기미패치 2매 기획,29900,43.0,4.0,63.0,18.0,33.0,49.0,2637,실측
A000000203126,에센스_세럼_엠플,디오디너리,[고강도탄력] 디오디너리 레티날 0.2% 에멀전 15ml,21400,28.0,19.0,36.0,20.0,19.0,61.0,211,실측
A000000203589,에센스_세럼_엠플,토리든,토리든 셀메이징 비타C 브라이트닝 앰플 30ml 기획 (+10ml),18200,39.0,10.0,68.0,17.0,30.0,53.0,2356,실측
A000000204075,에센스_세럼_엠플,코스알엑스,코스알엑스 풀핏 프로폴리스 라이트 앰플 40ml 1+1 기획,25000,50.0,3.0,77.0,21.0,77.0,3.0,881,실측
A000000204162,에센스_세럼_엠플,다슈,다슈 보이 파란 수분초 수분 세럼 65ml 기획 (+세럼 20ml),28000,24.0,26.0,78.0,27.0,72.0,2.0,259,실측
A000000204169,에센스_세럼_엠플,라운드랩,[잡티청소] 라운드랩 비타 나이아신 잡티 세럼 30ml 기획 (+잡티크림 10ml),21000,31.0,11.0,67.0,21.0,22.0,57.0,3396,실측
A000000204306,에센스_세럼_엠플,넘버즈인,[수딩진정] 넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml,19500,17.0,32.0,78.0,65.0,34.0,1.0,1427,실측
A000000204578,에센스_세럼_엠플,AHC,[수분/단독기획]AHC 프로 샷 히알루로 딥 볼륨 5 인트라 세럼 40ml 기획 (아이크림 +10ml),25900,45.0,4.0,89.0,13.0,76.0,11.0,386,실측
A000000204638,에센스_세럼_엠플,더후,더후 로얄레지나 에너제틱 리페어 세럼 30ml,65700,48.6,3.17,68.86,16.03,53.54,23.74,2,예측
A000000205864,에센스_세럼_엠플,이즈앤트리,[NCT 재민PICK] 이즈앤트리 어니언 뉴페어 부스터 샷 2000 50ml,19600,22.0,21.0,23.0,28.0,25.0,48.0,379,실측
A000000206821,에센스_세럼_엠플,뉴라덤,[윤곽앰플] 메디톡스 뉴라덤 코어타임 앰플 2개입,57500,47.0,8.0,88.0,9.0,49.0,42.0,2561,실측
A000000206961,에센스_세럼_엠플,아비브,[투명잡티] 아비브 글루타치온좀 잡티 세럼 비타 드롭 50ml,32000,29.0,8.0,70.0,23.0,23.0,54.0,565,실측
A000000206967,에센스_세럼_엠플,에스테덤,[비타민C앰플/기미잡티]에스테덤 비타민C2 미백 앰플 10ml,59200,25.0,15.0,30.0,15.0,15.0,70.0,235,실측
A000000207232,에센스_세럼_엠플,넘버즈인,[트러블흔적] 넘버즈인 1번 판토텐산 액티브업 드레싱 파우더,9900,12.0,45.0,67.0,90.0,9.0,1.0,5205,실측
A000000207750,에센스_세럼_엠플,엠도씨,엠도씨 스킨 포어 타이트너 이엑스 50ml,17600,24.94,20.53,71.33,41.97,54.5,11.7,19,예측
A000000208680,에센스_세럼_엠플,후시다인,후시다인 더마 포어 4D 콜라겐 세럼 50ml,38000,60.0,7.0,97.0,8.0,73.0,19.0,316,실측
A000000208735,에센스_세럼_엠플,아렌시아,[잡티미백 집중케어 / 화제의 쿨톤 세럼] 아렌시아 홀리 히솝 세럼 30 50g,42000,39.0,5.0,75.0,32.0,42.0,27.0,841,실측
A000000208780,에센스_세럼_엠플,차앤박,[진정탄력] 차앤박 더마앤서 액티브 부스트 PDRN앰플 30ml 기획 (+15ml 증정),25900,45.0,6.0,71.0,24.0,58.0,18.0,10060,실측
A000000208911,에센스_세럼_엠플,바이오던스,바이오던스 하이드로 세라놀 앰플 30ml,34000,55.0,5.0,85.0,29.0,70.0,1.0,73,실측
A000000209559,에센스_세럼_엠플,퍼셀,[총40ml/장벽강화세럼] 퍼셀 20억/mL 픽셀바이옴 유산균 원액 20ml 더블 기획,56000,26.0,14.0,70.0,71.0,24.0,4.0,13732,실측
A000000209640,에센스_세럼_엠플,티엘스,[4가지 일상 잡티 케어] 티엘스 레드 오렌지 나이아신아마이드 세럼 30ml,22000,25.0,17.0,87.0,16.0,22.0,62.0,132,실측
A000000210011,에센스_세럼_엠플,퍼셀,[트러블케어/스팟진정] 퍼셀 익스트림 이펙트 터피네올 원액 10ml,24000,23.0,29.0,22.0,87.0,13.0,0.0,98,실측
A000000211084,에센스_세럼_엠플,반코르,[보습개선/진정]반코르 바쿠치올 5000ppm 모공결 주름결 세럼 슬로우에이징,27500,34.0,10.0,73.0,28.0,47.0,25.0,1353,실측
A000000211220,에센스_세럼_엠플,빌리프,빌리프 슈퍼드랍스 멀티-7 히알루론 프로즌 세럼 3ml X 6개입,9360,41.0,12.0,66.0,50.0,48.0,2.0,316,실측
A000000211602,에센스_세럼_엠플,코스알엑스,[흔적케어] 코스알엑스 더 알파 - 알부틴 세럼 50ml,19500,20.0,15.0,63.0,30.0,18.0,52.0,844,실측
A000000213146,에센스_세럼_엠플,이지듀,[단독기획] 이지듀 스킨부스터 샷 앰플 기획 4종 (1ml*7ea+엠티에스 앰플 3.5ml 증정),29900,46.0,4.0,55.0,18.0,56.0,26.0,167,실측
A000000213152,에센스_세럼_엠플,이지듀,이지듀 스킨부스터 엠티에스 앰플 3.5ml,9900,53.0,7.0,51.0,20.0,60.0,20.0,45,실측
A000000213283,에센스_세럼_엠플,오드로이,오드로이 레티놀 0.03퍼센트 피어니 앰플 필리디 50ml,24500,23.0,21.0,46.0,21.0,19.0,60.0,48,실측
A000000213285,에센스_세럼_엠플,오드로이,오드로이 76퍼센트 캑터스 세럼 로프디 50ml,16070,30.55,14.57,74.6,48.1,39.79,5.36,21,예측
A000000213287,에센스_세럼_엠플,오드로이,오드로이 74퍼센트 블랙빈 앰플 로프디 50ml,16070,30.21,18.79,76.73,38.11,49.05,10.27,5,예측
A000000213410,에센스_세럼_엠플,반코르,반코르 닥터 스쿠알란 속보습 앰플 50ml,20830,38.7,9.25,78.45,48.38,49.78,4.45,22,예측
A000000213411,에센스_세럼_엠플,반코르,반코르 닥터 라디아타 잡티세럼 로토 30ml,25080,19.0,3.0,75.0,47.0,22.0,31.0,32,실측
A000000213952,에센스_세럼_엠플,연작,연작 카밍 앤 컴포팅 앰플 40ml,38000,37.0,13.0,87.0,43.0,57.0,0.0,30,실측
A000000214261,에센스_세럼_엠플,키엘,키엘 파워풀 스트렝스 라인 리듀싱 콘센트레이트 50ml,115600,32.3,9.3,63.23,27.52,37.73,28.19,8,예측
A000000214272,에센스_세럼_엠플,키엘,[OY단독/1위세럼] 키엘 울트라 퓨어 하이-포텐시 세럼 9.8% 글라이콜릭애씨드 30ml,49000,24.74,25.12,58.93,46.01,40.15,6.44,6,예측
A000000216836,에센스_세럼_엠플,파넬,[재구매1위/깐달걀세럼] 파넬 아하 오미자 도자기 워시오프 세럼 30ml,19900,24.0,15.0,64.0,44.0,36.0,20.0,620,실측
A000000218545,에센스_세럼_엠플,에스트라,에스트라 에이시카365 흔적진정세럼 pH4.5 40ml,28500,24.0,12.0,80.0,81.0,17.0,2.0,691,실측
A000000219128,에센스_세럼_엠플,셀올로지,셀올로지 블루 이레이저 세럼 15ml (세럼/리필2입),39800,38.58,15.47,73.08,44.27,34.37,2.89,24,예측
A000000219212,에센스_세럼_엠플,SVR,[레티놀]SVR 리프팅 A 앰플 30ml 기획(+크림 10ml)/단품,36500,36.0,17.0,47.0,10.0,17.0,72.0,127,실측
A000000219528,에센스_세럼_엠플,디마르3,디마르3 모공 앰플 30ml 리필 증정기획 (+리필팩 30ml),28900,33.0,9.0,69.0,29.0,46.0,25.0,2982,실측
A000000219603,에센스_세럼_엠플,셀퓨전씨,[흔적케어/비타민X스피큘] 셀퓨전씨 토닝C 비타 샷 앰플 20g 더블기획,38900,35.0,7.0,44.0,13.0,25.0,62.0,369,실측
A000000219871,에센스_세럼_엠플,네오젠,[광채/보습/기미/잡티] 네오젠 더블 비타 스팟 토닝 세럼 30ml,34000,37.0,13.0,94.0,6.0,46.0,48.0,63,실측
A000000222321,에센스_세럼_엠플,바이오더마,[NEW]바이오더마 세비엄 세럼 30ml,33900,25.0,75.0,75.0,100.0,0.0,0.0,839,실측
